序号,异常行为分类,,,,,可选风险等级,排查阶段,,核实阶段
17,违法犯罪类,经济金融类,涉嫌诈骗,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
18,违法犯罪类,经济金融类,涉嫌盗窃公、私财物,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
19,违法犯罪类,经济金融类,私设小金库或账外账，开展账外经营活动,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.突击检查银行内部现金库存，核对账面记录与实际现金是否一致；
2.核查银行账户；
3. 票据审查：检查行内使用的各类票据，核实其编号是否连续，是否存在缺号、涂改等现象。作废票据应盖有“作废”戳记，联次齐全。将有效票据金额与账面收入核对，发现差异需进一步调查。  
4. 资产处置情况审查：审查银行固定资产的出租、报废、转让等情况，核实相关收入是否全部入账。 
5.查阅会议记录和工作总结：审阅行内会议纪要和工作总结，了解是否有涉及资金安排的决策。对未在账面反映但实际使用的资金，追溯其来源，查找可能的“小金库”线索。 
6.追查专项资金去向：审查银行管理的各类专项资金，核实其使用是否符合规定用途，是否存在虚构项目、虚列支出等套取资金设立“小金库”的行为。  
7.现场勘查：实地察看银行办公场所，了解是否存在未在账面反映的经营活动，如房屋出租、广告设施等，判断是否有账外收入。  ","1.核实资金流向：核对员工及其关联账户的交易流水，关注异常大额资金流动或频繁的小额转账。
2.寻找业务相关证据：检查相关票据、审批记录、发票和外部账户，确认资金去向是否与业务无关。
3.询问当事人：与员工沟通，了解清楚资金来源和用途，看是否有合理解释。
4.核对外部信息：通过工商信息或第三方调查，查员工或家人是否经营公司，与资金流动相关。
5.形成证据链：把资金、交易和员工行为串联起来，形成完整的证据链，直接证明违规行为。"
20,违法犯罪类,经济金融类,以各类非法手段催收贷款,非法手段包括但不限于：故意伤害、非法拘禁、侮辱、恐吓、威胁、骚扰等,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
21,违法犯罪类,数据隐私类,未经授权查阅、下载、保管、变更、删除客户信息,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期对行内系统进行系统审计和日志审查，重点监控涉及客户信息的账户异常行为，并监控未成功的登录尝试。,通过审计日志和监控系统追踪和分析员工对客户信息的访问和操作行为，对疑似违规行为进行员工面谈等进一步调查。
22,违法犯罪类,数据隐私类,出售客户信息,包括通过此类行为谋取非法利益的情况,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.定期对行内系统进行系统审计和日志审查，重点监控员工是否大量查询、下载、调用客户信息及客户征信报告等；
2.定期排查员工个人账户，监测是否有异常大额入账，陌生交易对手入账等异常交易行为；
3.定期对员工的邮件往来进行审计，排查是否含有大量敏感客户信息的邮件转出至行外地址邮箱。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
23,违法犯罪类,数据隐私类,泄露客户信息,包括受雇期间或离职后未遵守保密规定，导致客户信息泄露的情况，或通过此类行为谋取非法利益,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.定期对行内系统进行系统审计和日志审查，重点监控员工是否大量查询、下载、调用客户信息及客户征信报告等；
2.定期排查员工个人账户，监测是否有异常大额入账，陌生交易对手入账等异常交易行为；
3.定期对员工的邮件往来进行审计，排查是否含有大量敏感客户信息的邮件转出至行外地址邮箱；
4.定期获取人行或其他监管机构发布的处置名单、黑、灰名单，筛选其中与泄露信息相关的名单进行逐一排查。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
24,违法犯罪类,数据隐私类,泄露银行内部保密信息,包括但不限于外泄露银行的商业机密、技术信息、数据、公文、报表、电子文档、视频影像等未公开信息，或通过此类行为谋取非法利益,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.定期对行内系统进行系统审计和日志审查，重点监控涉及行内保密信息的账户异常行为（例如：大量下载、调阅、检索的信息为行内保密信息），并监控未成功的登录尝试。；
2.定期排查员工个人账户，监测是否有异常大额入账，陌生交易对手入账等异常交易行为；
3.定期对员工的邮件往来进行审计，排查是否含有大量敏感行内信息的邮件转出至行外地址邮箱;
4.定期分析员工的工作表现和业务质量，注意个人业绩指标和考勤情况的异常波动，是泄露信息的预警信号；
5.定期获取人行或其他监管机构发布的处置名单、黑、灰名单，筛选其中与泄露信息相关的名单进行逐一排查。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
25,违法犯罪类,数据隐私类,违规披露监管秘密信息,未经监管部门允许，泄露监管工作秘密信息，向社会、单位或个人披露不应公开的监管内容,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.定期对行内系统进行系统审计和日志审查，重点监控涉及行内保密信息的账户异常行为（例如：大量下载、调阅、检索的信息为行内保密信息），并监控未成功的登录尝试。；
2.定期排查员工个人账户，监测是否有异常大额入账，陌生交易对手入账等异常交易行为；
3.定期对员工的邮件往来进行审计，排查是否含有大量敏感行内信息的邮件转出至行外地址邮箱;
4.定期分析员工的工作表现和业务质量，注意个人业绩指标和考勤情况的异常波动，是泄露信息的预警信号；
5.定期获取人行或其他监管机构发布的处置名单、黑、灰名单，筛选其中与泄露信息相关的名单进行逐一排查。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
26,违法犯罪类,经济金融类,内幕交易、违规泄露内幕信息,未遵守禁止内幕交易的规定，以明示或暗示的形式违规泄露内幕信息，利用内幕信息牟取个人利益或基于内幕信息为他人提供理财或投资方面的建议,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1. 排查员工账户交易记录，寻找在内幕信息敏感期内是否有异常交易行为，如新开户交易、大额交易激增、首次交易某股票等；
2. 定期检查通讯记录，调查员工与疑似内幕信息知情人之间的通讯记录，包括电话、邮件、短信、微信等，以确定是否存在内幕信息的传递；
3. 定期审查员工账户的资金流动情况，包括资金来源、流向和使用情况。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
27,违法犯罪类,经济金融类,隐匿、纵容、包庇客户,协助客户隐匿、转移资产等各项隐瞒、纵容和包庇客户的违法违规行为,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1. 定期监控员工的邮件和信息系统访问记录，查找异常行为或未授权的信息访问；
2.定期监控员工的业务表现情况，分析员工的工作表现和业务质量，注意个人业绩指标和考勤情况的异常波动，这些可能是包庇、隐匿等的预警信号；
3.定期审查员工账户的资金流动情况，包括资金来源、流向和使用情况，关注异常交易情况，例如大额转入转出，交易对手为客户账户等情况；
4. 在数据安全合规的前提下调查员工与客户的通讯记录，包括电话、邮件、短信、微信等，以确定是否存在不当沟通或信息传递。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
28,违法犯罪类,经济金融类,利用职务便利索取、收受回扣,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,排查员工账户的交易情况，包括但不限于交易对手是否有个人、公司客户，可疑陌生入账、大额入账等交易异常行为。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
29,违法犯罪类,经济金融类,涉嫌利用职务之便为自己或特定关系人谋取利益的,例如：以减免费用、提供合作项目等好处为交换，要求客户或服务合作对象为个人谋取利益提供便利,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,"1. 定期排查员工与其亲属的银行交易记录，关注异常交易或不寻常的资金流动；
2. 结合行内审计、内控等相关信息，获取相关异常行为的员工名单。",定期检查利益冲突申报，核实可疑员工是否按规定申报了与职务相关的个人或家庭利益冲突；与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
30,违法犯罪类,经济金融类,收受或索取下属、相关方提供的财物,收受或索取具有上下级关系的下属或者具有行政管理关系的被管理人员、客户、供应商、竞争对手、服务管理对象等相关方提供的礼品、礼金、会员卡、商业预付卡、电子红包、代币购物券（卡）、有价证券等财物未及时上交，以及各类涉嫌收取财物的行为,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.排查员工账户，监测交易异常行为，重点关注是否与客户进行资金往来、账户交易频繁或转账金额较大等异常情况；
2.结合行内审计、内控等相关信息，获取相关异常行为的员工名单；
3.获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
31,违法犯罪类,经济金融类,接受下属、相关方可能影响履职尽责的各类活动安排,索取或接受具有上下级关系的下属或者具有行政管理关系的被管理人员、客户、供应商、竞争对手、服务管理对象等相关方提供的可能影响履职尽责的宴请、赞助、休闲娱乐、旅游、健身、美容服务、培训考察等活动安排,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,"1.排查员工账户，监测交易异常行为，重点关注是否与客户进行资金往来、账户交易频繁或转账金额较大，以及交易备注中是否含有相关风险关键字，交易对手名称是否有敏感字段等异常情况；
2.结合行内审计、内控等相关信息，获取相关异常行为的员工名单；
3.获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
32,违法犯罪类,经济金融类,接受相关方代为报销个人费用,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,"1.排查员工账户，监测交易异常行为，重点关注是否与客户进行资金往来、账户交易频繁或转账金额较大，以及交易备注中是否含有相关风险关键字，交易对手名称是否有敏感字段等异常情况；
2.结合行内审计、内控等相关信息，获取相关异常行为的员工名单；
3.获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
33,违法犯罪类,经济金融类,以不符合市场公允价格向相关方买卖、租赁房屋、汽车等物品,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1. 结合行内审计、内控合规等数据信息，获取相关异常行为的员工名单；
2. 获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
34,违法犯罪类,经济金融类,公车私用、私车公养，因公使用的我行器材、设施等作私人用途,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1. 结合行内审计、内控合规等数据信息，获取相关异常行为的员工名单；
2. 获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
35,违法犯罪类,经济金融类,非法占有客户资金,挪用客户委办业务款项，或有应退还不退还行为等利用工作便利侵吞、窃取、骗取、贪污、挪用、私分或其他非法手段占有客户资金,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.排查员工账户，监测交易异常行为，重点关注是否与客户进行资金往来、账户交易频繁或转账金额较大，以及交易备注中是否含有相关风险关键字，交易对手名称是否有敏感字段等异常情况；
2.结合行内审计、内控等相关信息，获取相关异常行为的员工名单；
3.获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
36,违法犯罪类,经济金融类,非法占有本行资金,个人因公务需要掌握的银行经费（包括利息等盈余），作私人用途，或用公款支付应当由本人或亲友个人支付的费用，公款相互宴请或赠送礼品，公款旅游等利用工作便利侵吞、窃取、骗取、贪污、挪用、私分或其他非法手段占有本行资金,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 结合行内审计信息，关注是否有超标准、超范围使用资金，公款报销私人费用、公款旅游或其他违反规定公款消费的情况
2.筛查员工的银行账户和交易记录，分析是否存在异常的资金流动或不寻常的资产增加；
3.获取举报名单，筛选相关异常行为的员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
37,违法犯罪类,经济金融类,利用职务便利实施伪造信用卡,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 结合行内审计、反欺诈系统提供的信息，关注是否有不合理的账目和资金流动，是否有伪造的交易记录或异常的信用卡开户情况。
2. 根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。",被查询人提供个人《有无违法犯罪记录证明》来证明。
38,违法犯罪类,经济金融类,信用卡非法套现,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1.监控员工信用卡交易情况，重点关注频繁、大额交易、非正常时间的交易、或者交易模式与持卡人正常消费习惯不符的情况；
2. 根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。",被查询人提供个人《有无违法犯罪记录证明》来证明。
39,违法犯罪类,经济金融类,利用职务便利实施滥发信用卡,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1.监控审批速度、客户风险比例、重复申请情况；
2.针对重点业务岗位和高风险人员进行专项检查；
3.结合行内审计、内控合规提供的信息，获取相关异常员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
40,违法犯罪类,经济金融类,伪造或参与伪造票据发票,提供没有真实交易背景或虚假票据，或伪造、虚开发票报销等,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 结合行内审计、反欺诈系统提供的信息，获取相关异常员工名单。
2. 根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
41,违法犯罪类,经济金融类,伪造或参与伪造信贷业务资料,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 结合行内审计、反欺诈系统提供的信息，获取相关异常员工名单。
2. 根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
42,违法犯罪类,经济金融类,伪造或参与伪造合同,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 结合行内审计、反欺诈系统提供的信息，获取相关异常员工名单。
2. 根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
43,违法犯罪类,经济金融类,私刻使用印章,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期进行印章使用的监督检查，包括对印章保管、使用情况的现场检查，获取违规使用印章的相关异常员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
44,违法犯罪类,经济金融类,违规出借营业或办公场所开展非法金融业务,,违规行为,高/较高,个人异常行为事项报送及签署授权书,"1.调取监控记录，监控是否存在员工允许未授权人员随意进出和使用等异常情况；
2. 结合行内审计、内控、 安保相关信息，获取相关异常员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
45,违法犯罪类,经济金融类,出租出借同业账户,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,结合行内审计信息，检查同业账户的开立、使用、变更和撤销情况，获取相关异常员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
46,违法犯罪类,公共安全秩序类,参与其他违反社会公德和妨碍社会管理秩序的活动,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
47,违法犯罪类,其他违法犯罪类,存在其他违法犯罪等不良行为,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
48,违法犯罪类,法律程序及信用类,被公安司法机关列入失信人员等黑名单,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1. 外部征信数据获取行内员工失信人员名单；
2. 定期登录中国执行信息公开网 (court.gov.cn)，点击“综合查询被执行人”或“失信被执行人”进行查询。",登录中国执行信息公开网 (court.gov.cn)，点击“综合查询被执行人”或“失信被执行人”进行查询。输入员工的姓名和身份证号码，选择执行法院范围，即可查询是否为失信人员。
49,经济行为类,个人交易异常,利用个人消费贷款进行违规投资,个人贷款例如住房、汽车贷款等,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
50,经济行为类,个人交易异常,有与本人收入明显不符的风险投资活动情况,风险投资活动包括：大额炒股、炒期货、炒外汇、买卖基金等,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单,被查询人可提供个人征信报告
51,经济行为类,个人交易异常,消费与个人及家庭收入明显不符,例如：经常出入高消费场所等（当前规则仅支持信用卡消费的判定）,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单,被查询人可提供个人征信报告
52,经济行为类,个人交易异常,员工频繁进行个人账户大额现金存取,"例如：
1. 存在大额现金异常存取、大额人民币异常划转情况
2.在自助设备上按照取现标准限额频繁支取现金
3.体现时间多数选择在银行营业点下班后，或直接凌晨前后进行取现，方便连续提取两天的单卡取现额度
4.银行卡在境外自助设备上按照取额标准限额频发支取现金",可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,"1. 存在大额现金异常存取、大额人民币异常划转情况
2.在自助设备上按照取现标准限额频繁支取现金
3.体现时间多数选择在银行营业点下班后，或直接凌晨前后进行取现，方便连续提取两天的单卡取现额度
4.银行卡在境外自助设备上按照取额标准限额频发支取现金",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
53,经济行为类,个人交易异常,在不合理时间进行高频、大额交易,"1）不合理时间：如在24：00-4：00之间
2）消费笔数>=3
3）消费金额>=10000",可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,"1）不合理时间：如在24：00-4：00之间
2）消费笔数>=3
3）消费金额>=10000",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
54,经济行为类,个人交易异常,员工个人账户短时间内交易金额大,"每月大于5万的转账发生3次（含）以上；
或近30天平均交易金额与平常发生较大出入等。",可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,"每月大于5万的转账发生3次（含）以上；
或近30天平均交易金额与平常发生较大出入等。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
55,经济行为类,个人交易异常,员工个人账户短时间内交易对手多,（近30天）交易对手数较多，或陌生交易对手数与平常发生较大出入等。,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,（近30天）交易对手数较多，或陌生交易对手数与平常发生较大出入等。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
56,经济行为类,个人交易异常,员工个人账户短时间内交易次数多,例如： 每月员工转账交易（借贷双方）对手累计50次以上；包括网银、第三方平台等渠道。,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,例如每月员工转账交易（借贷双方）对手累计50次以上；包括网银、第三方平台等渠道。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
57,经济行为类,个人交易异常,行内员工之间发生大额频繁资金交易,大额借贷指>=1万元（模型与本口径不一致，改版中）,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过排查员工账户的交易对手，筛选出交易对手为行内员工的员工名单。,谈话谈心，了解具体情况及事由，与交易双方进行核实确认
58,经济行为类,个人交易异常,上下级之间不正当交易往来,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,通过排查员工账户的交易对手，筛选出交易对手为行内员工且为上下级的员工名单。,谈话谈心，了解具体情况及事由，与交易双方进行核实确认
59,经济行为类,个人交易异常,员工私自出借信用卡,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1. 可对员工持有的信用卡张数、额度等情况进行摸底排查，要求员工打印信用卡账户明细和个人征信报告，通过账户明细和征信报告相结合的排查方式进行比对排查；
2. 可要求员工向支行报备名下账户及开通电子银行数量情况，各部门网点负责人逐人排查员工个人账户及网银使用情况，并形成异常员工名单；
3. 结合行内审计信息，获取相关异常员工名单。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
60,经济行为类,个人交易异常,员工小额测试后频繁发生大规模交易,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,排查员工账户的交易异常情况，重点关注员工在短时间内是否发生先小额、后大额交易的情况，整理发生此类情况的员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
61,经济行为类,个人交易异常,员工个人账户资金呈现过渡性质,过渡性质的呈现包括快进快出、余额较低次数较多、分散转入分散转出、分散转入集中转出、集中转入分散转出等。,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,监控员工账户的交易异常情况，重点关注账户是否为过渡性质，包括快进快出、余额较低次数较多、分散转入分散转出、分散转入集中转出、集中转入分散转出等。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
